22,4099,2930
17,4749,3350
22,3799,2640
20,4816,3250
15,7827,4080
18,5788,3670
26,4453,2230
20,5189,3280
16,10372,3880
19,4082,3400
14,11385,4330
14,14500,3900
21,15906,4290
29,3299,2110
16,5705,3690
22,4504,3180
22,5104,3220
24,3667,2750
19,3955,3430
30,3984,2120
18,4010,3600
16,5886,3600
17,6342,3740
28,4389,1800
21,4187,2650
12,11497,4840
12,13594,4720
14,13466,3830
22,3829,2580
14,5379,4060
15,6165,3720
18,4516,3370
14,6303,4130
20,3291,2830
21,8814,4060
19,5172,3310
19,4733,3300
18,4890,3690
19,4181,3370
24,4195,2730
16,10371,4030
28,4647,3260
34,4425,1800
25,4482,2200
26,6486,2520
18,4060,3330
18,5798,3700
18,4934,3470
19,5222,3210
19,4723,3200
19,4424,3420
24,4172,2690
17,9690,2830
23,6295,2070
25,9735,2650
23,6229,2370
35,4589,2020
24,5079,2280
21,8129,2750
21,4296,2130
25,5799,2240
28,4499,1760
30,3995,1980
14,12990,3420
26,3895,1830
35,3798,2050
18,5899,2410
31,3748,2200
18,5719,2670
23,7140,2160
41,5397,2040
25,4697,1930
25,6850,1990
17,11995,3170
